t_min,signal
0.0000000000,100.0000000000
0.5000000000,100.2898983473
1.0000000000,100.6058371636
1.5000000000,99.8944785207
2.0000000000,99.7950151014
2.5000000000,98.8430425469
3.0000000000,99.2097729346
3.5000000000,99.1144192207
4.0000000000,99.7781220021
4.5000000000,99.9115331434
5.0000000000,99.6468932424
5.5000000000,99.3865804571
6.0000000000,98.4683303277
6.5000000000,98.6717425585
7.0000000000,98.3268660634
7.5000000000,99.1929068431
8.0000000000,99.1502205802
8.5000000000,99.3842050767
9.0000000000,98.8971407489
9.5000000000,98.2423542152
10.0000000000,98.0869968616
10.5000000000,97.6975761664
11.0000000000,98.4948014461
11.5000000000,98.4057300601
12.0000000000,99.0159657307
12.5000000000,98.3794664190
13.0000000000,98.0846214811
13.5000000000,97.4926017218
14.0000000000,97.2279618208
14.5000000000,97.6930799361
15.0000000000,97.7333775259
15.5000000000,98.4779353546
16.0000000000,97.8895535766
16.5000000000,97.8926931878
17.0000000000,96.9533182259
17.5000000000,96.8653647747
18.0000000000,96.8495966168
18.5000000000,97.1394949642
19.0000000000,97.7611002856
19.5000000000,97.4536339102
20.0000000000,97.5821868099
20.5000000000,96.5276112249
21.0000000000,96.5307508361
21.5000000000,96.0575696812
22.0000000000,96.5856211590
22.5000000000,96.9176169663
23.0000000000,97.0510281075
23.5000000000,97.1180951806
24.0000000000,96.2343772037
24.5000000000,96.1560386169
25.0000000000,95.4043386820
25.5000000000,96.0145743526
26.0000000000,96.0407035898
26.5000000000,96.6214225185
27.0000000000,96.5237000408
27.5000000000,96.0366357131
28.0000000000,95.7135561535
28.5000000000,94.9347936082
29.0000000000,95.3852844556
29.5000000000,95.2273975696
30.0000000000,96.0934383493
30.5000000000,96.1137624773
31.0000000000,96.3506683572
31.5000000000,95.9741164453
32.0000000000,95.6320966859
32.5000000000,95.9491637591
33.0000000000,96.0408766828
33.5000000000,97.1710858151
34.0000000000,97.2105314781
34.5000000000,97.8272618658
35.0000000000,97.2404899344
35.5000000000,97.1745201641
36.0000000000,97.0048597388
36.5000000000,97.2390915810
37.0000000000,98.1106969024
37.5000000000,98.3588970322
38.0000000000,99.1413421994
38.5000000000,98.5647829334
39.0000000000,98.7153195141
39.5000000000,98.1285475827
40.0000000000,98.5287716195
40.5000000000,98.9751161232
41.0000000000,99.5571119305
41.5000000000,100.2722300458
42.0000000000,99.9658919273
42.5000000000,100.1720854929
43.0000000000,99.3886347404
43.5000000000,99.8420469712
44.0000000000,99.8623710992
44.5000000000,100.7619055280
45.0000000000,101.2609174826
45.5000000000,101.4131950050
46.0000000000,101.5078376514
46.5000000000,100.8113529001
47.0000000000,101.1225018974
47.5000000000,100.8678805791
48.0000000000,101.9151058588
48.5000000000,102.1912350960
49.0000000000,102.8349644156
49.5000000000,102.7401633214
50.0000000000,102.3636114095
50.5000000000,102.3532986242
51.0000000000,102.0469605057
51.5000000000,102.9785849720
52.0000000000,103.1536819386
52.5000000000,104.1482397673
53.0000000000,103.9250586125
53.5000000000,103.9616918727
54.0000000000,103.5640151283
54.5000000000,103.3943547030
55.0000000000,103.9602935193
55.5000000000,104.2084936491
56.0000000000,105.2966053214
56.5000000000,105.1239383229
57.0000000000,105.5024912226
57.5000000000,104.8131162607
58.0000000000,104.8497495209
58.5000000000,104.9182665836
59.0000000000,105.3646110873
59.5000000000,106.2783138687
60.0000000000,106.3700267924
60.5000000000,106.9036002165
61.0000000000,106.1546816164
61.5000000000,106.3263430296
62.0000000000,105.9398437179
62.5000000000,106.5835730375
63.0000000000,107.1514004922
63.5000000000,107.6504124468
64.0000000000,108.1343969433
64.5000000000,107.6056343980
65.0000000000,107.7490611893
65.5000000000,107.1050980209
66.0000000000,107.8055888683
66.5000000000,108.0129026054
67.0000000000,108.9124370342
67.5000000000,109.2244593797
68.0000000000,109.1296582856
68.5000000000,109.0848133477
69.0000000000,108.4510953708
69.5000000000,108.9846687949
70.0000000000,108.9611810955
